Births by year and month per place of event city,,,
,,,
BOOK_YEAR,MTH,CITY,COUNT(*)
1917,Dec,OAKVILLE,6
1917,Dec,ORILLIA,19
1917,Dec,OSGOODE TWP,6
1917,Dec,OSHAWA,21
1917,Dec,OSPREY TWP,9
1917,Dec,OTTAWA,227
1917,Dec,OWEN SOUND,28
1917,Dec,PARIS,12
1917,Dec,PARRY SOUND,17
1917,Dec,PEEL TWP,7
1917,Dec,PEMBROKE,26
1917,Dec,PENETANGUISHENE,8
1917,Dec,PERTH,7
1917,Dec,PETERBOROUGH,29
1917,Dec,PICTON,9
1917,Dec,PORT ARTHUR,48
1917,Dec,PORT HOPE,7
1917,Dec,PRESCOTT,6
1917,Dec,PRESTON,13
1917,Dec,RAINY RIVER,8
1917,Dec,RENFREW,16
1917,Dec,ROCKLAND,12
1917,Dec,S PLANTAGENET T,6
1917,Dec,SANDWICH,7
1917,Dec,SANDWICH W T,6
1917,Dec,SARNIA,21
1917,Dec,SAULT STE MARIE,40
1917,Dec,SIMCOE,8
1917,Dec,SMITHS FALLS,12
1917,Dec,ST ALBERT,7
1917,Dec,ST CATHARINES,44
1917,Dec,ST THOMAS,36
1917,Dec,STEELTON,11
1917,Dec,STRATFORD,28
1917,Dec,STURGEON FALLS,10
1917,Dec,SUDBURY,27
1917,Dec,SULLIVAN TWP,6
1917,Dec,TECUMSETH TWP,6
1917,Dec,THESSALON,7
1917,Dec,THOROLD,8
1917,Dec,TIMMINS,22
1917,Dec,TORONTO,1098
1917,Dec,TRENTON,19
1917,Dec,W ZORRA TWP,6
1917,Dec,WALKERTON,7
1917,Dec,WALKERVILLE,8
1917,Dec,WALLACEBURG,9
1917,Dec,WATERLOO,7
1917,Dec,WATERLOO TWP,15
1917,Dec,WELLAND,22
1917,Dec,WESTBORO,10
1917,Dec,WINCHESTER TWP,8
1917,Dec,WINDSOR,65
1917,Dec,WOODSTOCK,9
1917,Dec,WOOLWICH TWP,8
1917,Dec,YORK TWP,63
1917,Feb,ALDBOROUGH TWP,8
1917,Feb,ALEXANDRIA,6
1917,Feb,ARNPRIOR,7
1917,Feb,ARTHUR TWP,6
1917,Feb,BARRIE,8
1917,Feb,BARTON TWP,8
1917,Feb,BELLEVILLE,19
1917,Feb,BRAMPTON,10
1917,Feb,BRANTFORD,47
1917,Feb,BRANTFORD TWP,14
1917,Feb,BROCKVILLE,24
1917,Feb,BURLINGTON,6
1917,Feb,CAMDEN TWP,9
1917,Feb,CAMPBELLFORD,9
1917,Feb,CARLETON PLACE,7
1917,Feb,CASSELMAN,11
1917,Feb,CHAPLEAU TWP,9
1917,Feb,CHATHAM,21
1917,Feb,CHATHAM TWP,11
1917,Feb,CHISHOLM TWP,6
1917,Feb,COBALT,16
1917,Feb,COBOURG,6
1917,Feb,COCHRANE,10
1917,Feb,COLEMAN TWP,6
1917,Feb,COLLINGWOOD,16
1917,Feb,COLLINGWOOD TWP,7
1917,Feb,CONISTON,6
1917,Feb,COPPERCLIFF TWP,8
1917,Feb,CORNWALL,22
1917,Feb,CORNWALL TWP,7
1917,Feb,CREIGHTON MINE,15
1917,Feb,CROWLAND,10
1917,Feb,CUMBERLAND TWP,8
1917,Feb,CURRAN,7
1917,Feb,DOVER TWP,9
1917,Feb,DUNNVILLE,9
1917,Feb,EASTVIEW,10
1917,Feb,EMBRUN,10
1917,Feb,ENNISKILLEN TWP,13
1917,Feb,ERIN TWP,6
1917,Feb,ESPANOLA,7
1917,Feb,FERGUS,7
1917,Feb,FERRIS,8
1917,Feb,FORD CITY,12
1917,Feb,FORT FRANCES,8
1917,Feb,FORT WILLIAM,58
1917,Feb,FULLARTON TWP,7
1917,Feb,GALT,22
1917,Feb,GANANOQUE,11
1917,Feb,GODERICH,13
1917,Feb,GRAVENHURST,10
1917,Feb,GUELPH,25
